source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,n_sources,n_primary_sources,n_references,references_stripped
Q15910,Q14974,EZH2,KPNB1,True,True,False,True,True,False,2,CollecTRI:24132643;TRRUST:24132643,CollecTRI;TRRUST;TRRUST_CollecTRI,3,2,1,24132643
Q15910,P08253,EZH2,MMP2,True,True,False,True,True,False,2,CollecTRI:21629038;TRRUST:21629038,CollecTRI;TRRUST;TRRUST_CollecTRI,3,2,1,21629038
Q15910,P26927,EZH2,MST1,True,False,True,True,False,True,2,CollecTRI:24499724;TRRUST:24499724,CollecTRI;TRRUST;TRRUST_CollecTRI,3,2,1,24499724
Q15910,Q06710,EZH2,PAX8,True,True,False,True,True,False,2,CollecTRI:21289264;TRRUST:21289264,CollecTRI;TRRUST;TRRUST_CollecTRI,3,2,1,21289264
Q15910,P12004,EZH2,PCNA,True,True,False,True,True,False,2,CollecTRI:21629038;TRRUST:21629038,CollecTRI;TRRUST;TRRUST_CollecTRI,3,2,1,21629038
Q15910,P05423,EZH2,POLR3D,True,True,False,True,True,False,2,CollecTRI:18852463;TRRUST:18852463,CollecTRI;TRRUST;TRRUST_CollecTRI,3,2,1,18852463
Q15910,P01236,EZH2,PRL,True,True,False,True,True,False,2,CollecTRI:21903722;TRRUST:21903722,CollecTRI;TRRUST;TRRUST_CollecTRI,3,2,1,21903722
Q15910,P05388,EZH2,RPLP0,True,True,False,True,True,False,2,CollecTRI:17676662;TRRUST:17676662,CollecTRI;TRRUST;TRRUST_CollecTRI,3,2,1,17676662
Q15910,O43623,EZH2,SNAI2,True,False,True,True,False,True,2,CollecTRI:23836662;TRRUST:23836662,CollecTRI;SIGNOR_CollecTRI;TRRUST;TRRUST_CollecTRI,4,2,1,23836662
Q15910,Q15672,EZH2,TWIST1,True,False,True,True,False,True,2,CollecTRI:23836662;TRRUST:23836662,CollecTRI;SIGNOR_CollecTRI;TRRUST;TRRUST_CollecTRI,4,2,1,23836662
