rank,term,p_value,z_score,combined_score,overlap_genes,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adj_p,overlap_count
93,Cell Cycle Checkpoints R-HSA-69620,0.0046561817187236185,6.410356619443087,34.4207915431631,"['CDC20', 'CCNA2', 'CDKN1A', 'PLK1']",0.025884365038495817,0,0,1.5869624840976073,4
94,Dual Incision In GG-NER R-HSA-5696400,0.004719495169738577,21.272435897435898,113.93630347986566,"['PCNA', 'POLE2']",0.025957223433562174,0,0,1.5857417645670935,2
95,PTEN Regulation R-HSA-6807070,0.005072238171854362,9.299436795994994,49.137973919606814,"['EGR1', 'USP7', 'RRAGA']",0.027603654051039,0,0,1.5590334241245472,3
96,Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016,0.005174274872555036,9.231091784438577,48.59298474885369,"['NFKBIA', 'TLR4', 'DUSP6']",0.027612549805811067,0,0,1.5588934877662521,3
97,GPER1 Signaling R-HSA-9634597,0.005180691162792406,20.232723577235774,106.48111760263689,"['SRC', 'GNAS']",0.027612549805811067,0,0,1.5588934877662521,2
98,DNA Double-Strand Break Repair R-HSA-5693532,0.006148616172386748,8.658117167006704,44.08304801864367,"['CCNA2', 'PCNA', 'POLE2']",0.03243708735840764,0,0,1.4889581495583397,3
99,DNA Damage Bypass R-HSA-73893,0.0064203200925442745,18.028985507246375,91.01549863791358,"['PCNA', 'POLE2']",0.03352833826106454,0,0,1.4745879706372065,2
100,Post-translational Protein Modification R-HSA-597592,0.006703387979715114,2.9677281925657684,14.853901649695478,"['CDC20', 'NFKBIA', 'CCNA2', 'HSPA8', 'USP7', 'RRAGA', 'PCNA', 'MYC', 'NRIP1']",0.034656515855127135,0,0,1.4602151006224149,9
101,DNA Replication R-HSA-69306,0.00685512285061963,8.313829787234043,41.42581056937343,"['CCNA2', 'PCNA', 'POLE2']",0.03509008429475593,0,0,1.4548155885043608,3
102,Extension Of Telomeres R-HSA-180786,0.006950299465156898,17.276041666666668,85.84414194819459,"['CCNA2', 'PCNA']",0.03522847866162859,0,0,1.4531061113781083,2
103,Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793,0.00722250262714212,16.922619047619047,83.43788300609687,"['MYC', 'SERPINE1']",0.03625275590516967,0,0,1.4406589731229469,2
104,DNA Repair R-HSA-73894,0.007447180642930774,5.58226768968457,27.352663732653347,"['CCNA2', 'USP7', 'PCNA', 'POLE2']",0.03702108069610779,0,0,1.4315509077466528,4
105,Toll-like Receptor Cascades R-HSA-168898,0.0077381629124148674,7.945002007226013,38.62535000995355,"['NFKBIA', 'TLR4', 'DUSP6']",0.03810124024493797,0,0,1.4190608872439059,3
106,AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408,0.008067670084263163,15.943910256410257,76.8479024006269,"['HSPA8', 'HSPA1A']",0.03894853833436788,0,0,1.4095088359433954,2
107,MAPK Family Signaling Cascades R-HSA-5683057,0.008131121359076598,5.437828856272501,26.167139347802365,"['DNAJB1', 'SRC', 'MYC', 'DUSP6']",0.03894853833436788,0,0,1.4095088359433954,4
108,Cellular Senescence R-HSA-2559583,0.008136251721686133,7.796690307328605,37.513195975155796,"['CCNA2', 'CDKN1A', 'E2F2']",0.03894853833436788,0,0,1.4095088359433954,3
109,Regulation Of Cholesterol Biosynthesis By SREBP (SREBF) R-HSA-1655829,0.008358830212753155,15.642295597484276,74.83957451132376,"['HMGCS1', 'INSIG1']",0.03964692862379248,0,0,1.401790451055183,2
110,SUMO E3 Ligases SUMOylate Target Proteins R-HSA-3108232,0.008546246482462378,7.653771760154739,36.4492748316928,"['NFKBIA', 'PCNA', 'NRIP1']",0.040167358467573175,0,0,1.396126727906809,3
111,E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654,0.008654668543521428,15.351851851851851,72.91602120992282,"['RRAGA', 'PCNA']",0.040310483216221424,0,0,1.394581995772012,2
112,SUMOylation R-HSA-2990846,0.009402262937609816,7.382978723404255,34.45492114000981,"['NFKBIA', 'PCNA', 'NRIP1']",0.043036814804746804,0,0,1.3661598786964797,3
113,Role Of GTSE1 In G2/M Progression After G2 Checkpoint R-HSA-8852276,0.009570010787955807,14.541666666666666,67.6059670933825,"['CDKN1A', 'PLK1']",0.043036814804746804,0,0,1.3661598786964797,2
114,Transcriptional Regulation Of Granulopoiesis R-HSA-9616222,0.009570010787955807,14.541666666666666,67.6059670933825,"['CDKN1A', 'MYC']",0.043036814804746804,0,0,1.3661598786964797,2
115,Adaptive Immune System R-HSA-1280218,0.009572985885001706,3.605664624234088,16.76205018537283,"['CDC20', 'NFKBIA', 'CD40', 'SRC', 'KIF20A', 'TLR4']",0.043036814804746804,0,0,1.3661598786964797,6
116,Regulation Of PTEN Gene Transcription R-HSA-8943724,0.010203187898195867,14.04731638418079,64.40771918587598,"['EGR1', 'RRAGA']",0.0447037978251463,0,0,1.3496555796769958,2
117,DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586,0.010203187898195867,14.04731638418079,64.40771918587598,"['CCNA2', 'CDKN1A']",0.0447037978251463,0,0,1.3496555796769958,2
118,Selective Autophagy R-HSA-9663891,0.010203187898195867,14.04731638418079,64.40771918587598,"['HSPA8', 'SRC']",0.0447037978251463,0,0,1.3496555796769958,2
119,p53-Dependent G1 DNA Damage Response R-HSA-69563,0.011523761866123172,13.152777777777779,58.70537343689256,"['CCNA2', 'CDKN1A']",0.05006541919987966,0,0,1.300462143117254,2
120,G1/S DNA Damage Checkpoints R-HSA-69615,0.012210781302115073,12.746794871794872,56.15518906635068,"['CCNA2', 'CDKN1A']",0.05103847467193174,0,0,1.2921023133515857,2
121,HDR Thru Homologous Recombination (HRR) R-HSA-5685942,0.012210781302115073,12.746794871794872,56.15518906635068,"['PCNA', 'POLE2']",0.05103847467193174,0,0,1.2921023133515857,2
122,Regulation Of HMOX1 Expression And Activity R-HSA-9707587,0.012438777192772534,101.76530612244898,446.4379351400606,['HMOX1'],0.05103847467193174,0,0,1.2921023133515857,1
123,Drug-mediated Inhibition Of CDK4/CDK6 Activity R-HSA-9754119,0.012438777192772534,101.76530612244898,446.4379351400606,['CCND1'],0.05103847467193174,0,0,1.2921023133515857,1
124,FasL/ CD95L Signaling R-HSA-75157,0.012438777192772534,101.76530612244898,446.4379351400606,['CASP10'],0.05103847467193174,0,0,1.2921023133515857,1
125,G2 Phase R-HSA-68911,0.012438777192772534,101.76530612244898,446.4379351400606,['CCNA2'],0.05103847467193174,0,0,1.2921023133515857,1
126,NR1H2 And NR1H3 Regulate Gene Expression Linked To Gluconeogenesis R-HSA-9632974,0.012438777192772534,101.76530612244898,446.4379351400606,['NRIP1'],0.05103847467193174,0,0,1.2921023133515857,1
127,Circadian Clock R-HSA-400253,0.012915373039423325,12.365049751243781,53.77976800231812,"['SERPINE1', 'NRIP1']",0.05257675481403038,0,0,1.2792062232858277,2
128,Base Excision Repair R-HSA-73884,0.014004803729585262,11.833333333333334,50.50886613536219,"['PCNA', 'POLE2']",0.05546767050777237,0,0,1.255960072932483,2
129,Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184,0.014004803729585262,11.833333333333334,50.50886613536219,"['CDC20', 'CCNA2']",0.05546767050777237,0,0,1.255960072932483,2
130,Hemostasis R-HSA-109582,0.01420348256581721,3.770967114224557,16.042705075042885,"['MMP1', 'SRC', 'SERPINE1', 'GNAS', 'KIF20A']",0.05546767050777237,0,0,1.255960072932483,5
131,Signaling By NOTCH R-HSA-157118,0.014232378783234469,6.303191489361702,26.802655963713278,"['CCND1', 'MYC', 'IKZF1']",0.05546767050777237,0,0,1.255960072932483,3
132,APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178,0.014376533555205991,11.666079812206572,49.48935398933624,"['CDC20', 'PLK1']",0.05546767050777237,0,0,1.255960072932483,2
133,APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419,0.014376533555205991,11.666079812206572,49.48935398933624,"['CDC20', 'CCNA2']",0.05546767050777237,0,0,1.255960072932483,2
134,Extra-nuclear Estrogen Signaling R-HSA-9009391,0.014376533555205991,11.666079812206572,49.48935398933624,"['CCND1', 'SRC']",0.05546767050777237,0,0,1.255960072932483,2
135,Activated NTRK2 Signals Thru FYN R-HSA-9032500,0.014908284799373634,81.40816326530613,342.3895623444841,['SRC'],0.05625973168814722,0,0,1.2498023433872232,1
136,Activated NTRK3 Signals Thru PI3K R-HSA-9603381,0.014908284799373634,81.40816326530613,342.3895623444841,['SRC'],0.05625973168814722,0,0,1.2498023433872232,1
137,PTK6 Regulates Cell Cycle R-HSA-8849470,0.014908284799373634,81.40816326530613,342.3895623444841,['CCND1'],0.05625973168814722,0,0,1.2498023433872232,1
138,APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,0.015132735762129949,11.345319634703197,47.54704276850611,"['CDC20', 'CCNA2']",0.05669293035522597,0,0,1.2464710945310986,2
139,Oncogenic MAPK Signaling R-HSA-6802957,0.0162985561731684,10.895833333333334,44.85464558420347,"['SRC', 'DUSP6']",0.0601882395823433,0,0,1.2204883589655386,2
140,Nuclear Events Mediated By NFE2L2 R-HSA-9759194,0.0162985561731684,10.895833333333334,44.85464558420347,"['MYC', 'HMOX1']",0.0601882395823433,0,0,1.2204883589655386,2
141,Metabolism Of Proteins R-HSA-392499,0.017057675399339323,2.4029255319148937,9.782682309500846,"['CDC20', 'NFKBIA', 'CCNA2', 'HSPA8', 'USP7', 'RRAGA', 'PCNA', 'MMP1', 'MYC', 'NRIP1']",0.060727231858018434,0,0,1.216616514961532,10
142,"Activation Of NIMA Kinases NEK9, NEK6, NEK7 R-HSA-2980767",0.017371741450283952,67.83673469387755,274.9362107684438,['PLK1'],0.060727231858018434,0,0,1.216616514961532,1
143,RUNX3 Regulates CDKN1A Transcription R-HSA-8941855,0.017371741450283952,67.83673469387755,274.9362107684438,['CDKN1A'],0.060727231858018434,0,0,1.216616514961532,1
144,Signaling By MAPK Mutants R-HSA-9652817,0.017371741450283952,67.83673469387755,274.9362107684438,['DUSP6'],0.060727231858018434,0,0,1.216616514961532,1
145,IkBA Variant Leads To EDA-ID R-HSA-5603029,0.017371741450283952,67.83673469387755,274.9362107684438,['NFKBIA'],0.060727231858018434,0,0,1.216616514961532,1
146,Insulin-like Growth Factor-2 mRNA Binding Proteins (IGF2BPs/IMPs/VICKZs) Bind RNA R-HSA-428359,0.017371741450283952,67.83673469387755,274.9362107684438,['MYC'],0.060727231858018434,0,0,1.216616514961532,1
147,DDX58/IFIH1-mediated Induction Of Interferon-Alpha/Beta R-HSA-168928,0.017501658697958892,10.48048523206751,42.398379802278754,"['NFKBIA', 'CASP10']",0.060727231858018434,0,0,1.216616514961532,2
148,Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582,0.017501658697958892,10.48048523206751,42.398379802278754,"['CCNA2', 'CDKN1A']",0.060727231858018434,0,0,1.216616514961532,2
149,TP53 Regulates Metabolic Genes R-HSA-5628897,0.017501658697958892,10.48048523206751,42.398379802278754,"['RRAGA', 'DDIT4']",0.060727231858018434,0,0,1.216616514961532,2
150,Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399,0.017910873954623378,10.348958333333334,41.62710426921145,"['PCNA', 'POLE2']",0.06173281223026858,0,0,1.209483938353348,2
151,Binding Of TCF/LEF:CTNNB1 To Target Gene Promoters R-HSA-4411364,0.01982916145118511,58.142857142857146,227.9549801512961,['MYC'],0.06613984819524324,0,0,1.1795368062176568,1
152,DNA Replication Initiation R-HSA-68952,0.01982916145118511,58.142857142857146,227.9549801512961,['POLE2'],0.06613984819524324,0,0,1.1795368062176568,1
153,TRAIL Signaling R-HSA-75158,0.01982916145118511,58.142857142857146,227.9549801512961,['CASP10'],0.06613984819524324,0,0,1.1795368062176568,1
154,InlA-mediated Entry Of Listeria Monocytogenes Into Host Cells R-HSA-8876493,0.01982916145118511,58.142857142857146,227.9549801512961,['SRC'],0.06613984819524324,0,0,1.1795368062176568,1
155,Netrin Mediated Repulsion Signals R-HSA-418886,0.01982916145118511,58.142857142857146,227.9549801512961,['SRC'],0.06613984819524324,0,0,1.1795368062176568,1
156,Regulation Of mRNA Stability By Proteins That Bind AU-rich Elements R-HSA-450531,0.020450527887125446,9.624031007751938,37.43504172973695,"['HSPA8', 'HSPA1A']",0.06777514690797344,0,0,1.1689295323789328,2
157,Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,0.02130715894082591,4.043478260869565,15.56218396031169,"['CDKN1A', 'SRC', 'MYC', 'DUSP6']",0.06856576825563142,0,0,1.1638926535088172,4
158,MAPK6/MAPK4 Signaling R-HSA-5687128,0.021328695384006162,9.40435606060606,36.18515879365064,"['DNAJB1', 'MYC']",0.06856576825563142,0,0,1.1638926535088172,2
159,Signaling By TGF-beta Receptor Complex R-HSA-170834,0.02177361021578966,9.298220973782772,35.5848177883064,"['MYC', 'SERPINE1']",0.06856576825563142,0,0,1.1638926535088172,2
160,Telomere Maintenance R-HSA-157579,0.022222383975626977,9.194444444444445,35.00007985571613,"['CCNA2', 'PCNA']",0.06856576825563142,0,0,1.1638926535088172,2
161,CHL1 Interactions R-HSA-447041,0.022280559123686802,50.87244897959184,193.52086993316271,['HSPA8'],0.06856576825563142,0,0,1.1638926535088172,1
162,Regulation Of PTEN Localization R-HSA-8948747,0.022280559123686802,50.87244897959184,193.52086993316271,['USP7'],0.06856576825563142,0,0,1.1638926535088172,1
163,Regulation Of Commissural Axon Pathfinding By SLIT And ROBO R-HSA-428542,0.022280559123686802,50.87244897959184,193.52086993316271,['SRC'],0.06856576825563142,0,0,1.1638926535088172,1
